KEGG_name,KEGG_classification,gene_name,count
hsa01100_Metabolic_pathways,Global and overview maps,A4GALT/AACS/AANAT/AASDHPPT/AASS/ABAT/ABO/ACAA1/ACAA2/ACACB/ACAD8/ACADL/ACADM/ACADS/ACADSB/ACADVL/ACAT1/ACAT2/ACLY/ACO1/ACO2/ACOT8/ACOX1/ACOX2/ACOX3/ACP1/ACP2/ACP5/ACSBG1/ACSBG2/ACSL1/ACSL3/ACSL4/ACSL5/ACSL6/ACSM1/ACSM3/ACSM5/ACSS3/ACYP1/ADA/ADCY1/ADCY10/ADCY2/ADCY3/ADCY6/ADCY7/ADCY9/ADH1A/ADH5/ADH6/ADI1/ADK/ADO/ADPGK/ADSL/AGK/AGL/AGMAT/AGPAT2/AGPAT4/AGPAT5/AGPS/AHCY/AHCYL1/AHCYL2/AK1/AK2/AK5/AKR1A1/AKR1B1/AKR1C1/AKR1C3/AKR1D1/ALAD/ALAS1/ALAS2/ALDH18A1/ALDH1A1/ALDH1A2/ALDH1A3/ALDH1B1/ALDH1L1/ALDH2/ALDH3A1/ALDH3A2/ALDH3B1/ALDH3B2/ALDH4A1/ALDH5A1/ALDH6A1/ALDH7A1/ALDH8A1/ALDH9A1/ALDOA/ALDOB/ALDOC/ALG12/ALG13/ALG3/ALG5/ALG6/ALG8/ALG9/ALOX12/ALOX12B/ALOX15/ALOX5/ALOXE3/ALPL/AMD1/AMPD2/AMPD3/ANPEP/AOC2/AOC3/AOX1/APRT/ARG1/ARG2/ARSA/ARSB/ASAH1/ASL/ASNS/ASRGL1/ASS1/ATIC/ATP12A/ATP4A/ATP6AP1/ATP6V0A2/ATP6V0A4/ATP6V0B/ATP6V0E1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1G1/ATP6V1H/AUH/B3GALNT1/B3GALT2/B3GALT4/B3GAT1/B3GAT3/B3GNT2/B3GNT3/B3GNT4/B4GALNT1/B4GALT1/B4GALT2/B4GALT3/B4GALT4/B4GALT5/B4GALT6/B4GALT7/BAAT/BCAT1/BCAT2/BCKDHA/BCKDHB/BDH1/BLVRA/BLVRB/BPGM/BPNT1/BST1/BTD/C1GALT1/C1GALT1C1/CA1/CA12/CA14/CA2/CA3/CA4/CA5B/CA7/CA8/CA9/CAD/CANT1/CAT/CBR1/CBR3/CBR4/CD38/CDA/CDIPT/CDO1/CDS1/CDS2/CEL/CEPT1/CERK/CHAC1/CHIT1/CHKA/CHPF/CHPT1/CHST10/CHSY1/CKB/CKM/CMAS/CMPK1/CNDP2/COASY/COQ2/COQ3/COQ6/COQ7/COX10/COX11/COX15/COX4I1/COX5A/COX5B/COX6B1/COX6C/COX7A2/COX7A2L/COX7B/COX7C/CPOX/CPS1/CRYL1/CS/CSAD/CSGALNACT1/CSGALNACT2/CTH/CTPS2/CYC1/CYCS/CYP11A1/CYP17A1/CYP19A1/CYP1A1/CYP26A1/CYP26B1/CYP27A1/CYP27B1/CYP2C8/CYP2E1/CYP2J2/CYP2R1/CYP2U1/CYP2W1/CYP3A4/CYP3A5/CYP4F3/CYP7A1/DAD1/DAO/DBT/DCK/DCT/DCTD/DCXR/DDC/DDO/DEGS1/DERA/DGKA/DGKD/DGKE/DGKG/DGKH/DGKI/DGKQ/DGKZ/DGUOK/DHCR24/DHCR7/DHFR/DHODH/DHRS3/DHRS9/DHTKD1/DLAT/DLD/DNMT1/DNMT3A/DNMT3B/DOLK/DOLPP1/DOT1L/DPAGT1/DPM1/DPM2/DPM3/DPYD/DPYS/DSE/DTYMK/DUT/EBP/EHHADH/EHMT1/EHMT2/ELOVL2/ELOVL5/ELOVL6/ENO1/ENO2/ENO3/ENOPH1/ENOSF1/ENPP1/ENPP2/ENPP4/ENTPD1/ENTPD2/ENTPD3/ENTPD4/ENTPD5/ENTPD6/EPHX2/ESD/ETHE1/ETNK1/ETNK2/EXT1/EXT2/EXTL1/EXTL2/EXTL3/EZH1/EZH2/FADS2/FAH/FASN/FBP1/FDFT1/FDPS/FECH/FGGY/FH/FHIT/FIG4/FKRP/FKTN/FLAD1/FMO1/FMO5/FPGS/FTCD/FUT1/FUT2/FUT3/FUT4/FUT6/FUT7/FUT8/G6PC3/G6PD/GAA/GAD1/GAL3ST1/GALC/GALK1/GALK2/GALNS/GALNT1/GALNT10/GALNT11/GALNT12/GALNT14/GALNT2/GALNT3/GALNT6/GALNT7/GALNT8/GALT/GAMT/GANAB/GART/GATC/GATM/GBE1/GCAT/GCDH/GCH1/GCK/GCLC/GCLM/GCNT1/GCNT2/GCNT3/GCNT4/GDPD3/GFPT1/GFPT2/GGCT/GGCX/GGPS1/GGT5/GK/GLA/GLCE/GLDC/GLO1/GLS/GLS2/GLUD1/GLUD2/GLUL/GMDS/GMPPA/GMPR/GMPR2/GMPS/GNE/GNMT/GNPDA1/GNS/GOT1/GOT2/GPAA1/GPHN/GPI/GPLD1/GPT/GPX1/GPX2/GPX3/GPX4/GPX7/GRHPR/GSR/GSS/GSTA4/GSTK1/GSTM3/GSTM4/GSTM5/GSTP1/GSTZ1/GUCY1A2/GUCY2C/GUCY2D/GUK1/GUSB/GYG1/GYG2/GYS1/H6PD/HAAO/HADH/HADHA/HADHB/HAGH/HAL/HCCS/HDC/HDDC2/HEXA/HEXB/HGD/HGSNAT/HIBCH/HK1/HK2/HK3/HKDC1/HLCS/HMBS/HMGCL/HMGCR/HMGCS1/HMOX1/HMOX2/HNMT/HPD/HPGDS/HPRT1/HPSE/HPSE2/HSD11B2/HSD17B1/HSD17B10/HSD17B12/HSD17B2/HSD17B4/HSD17B6/HYAL1/HYAL2/IDH1/IDH2/IDH3B/IDH3G/IDI1/IDO1/IDS/IDUA/IMPA1/IMPA2/IMPDH1/INPP1/INPP4A/INPP4B/INPP5A/INPP5B/INPP5D/INPP5E/INPP5F/INPP5J/INPP5K/INPPL1/ISYNA1/ITPA/ITPK1/ITPKA/ITPKB/ITPKC/IVD/KDSR/KHK/KL/KMO/KYNU/L2HGDH/LANCL1/LAP3/LBR/LDHA/LDHAL6B/LDHB/LDHC/LIAS/LIPC/LIPG/LIPT1/LPCAT1/LPCAT4/LPIN1/LPIN2/LSS/MAN1A1/MAN1A2/MAN1B1/MAN1C1/MAN2A1/MAN2A2/MAOA/MAT2A/MAT2B/MBOAT2/MCAT/MCCC1/MCCC2/MDH1/MDH2/ME1/ME3/MECR/MGAM/MGAT1/MGAT3/MGAT4A/MGAT4B/MGAT5/MGLL/MGST2/MGST3/MINPP1/MLYCD/MOCOS/MOCS1/MOCS2/MOGS/MPI/MPPE1/MPST/MTAP/MTHFD1/MTHFD2/MTHFD2L/MTHFR/MTM1/MTMR1/MTMR14/MTMR2/MTMR3/MTMR4/MTMR6/MTR/MVD/MVK/NADK/NADSYN1/NAGA/NAGK/NAGLU/NAMPT/NANS/NAT1/NDST1/NDST2/NDST3/NDUFA1/NDUFA10/NDUFA13/NDUFA2/NDUFA3/NDUFA4/NDUFA4L2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFC1/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NEU1/NEU3/NFS1/NIT2/NME3/NME4/NME6/NME7/NMNAT2/NNT/NOS1/NOS2/NOS3/NPL/NPR1/NPR2/NQO1/NSD1/NSDHL/NT5C/NT5C2/NT5E/NT5M/NUDT2/NUDT9/OAT/OCRL/ODC1/OGDH/OGDHL/OLAH/OPLAH/OXCT1/OXCT2/OXSM/P4HA1/PAFAH1B1/PAFAH1B2/PAFAH1B3/PAFAH2/PAICS/PANK2/PANK3/PAPSS1/PAPSS2/PC/PCBD1/PCCA/PCCB/PCK1/PCK2/PCYT1A/PCYT1B/PCYT2/PDE10A/PDE1A/PDE1B/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4D/PDE5A/PDE6A/PDE6B/PDE6D/PDE7B/PDE8A/PDE8B/PDHA1/PDHB/PDHX/PEMT/PFAS/PFKFB1/PFKFB2/PFKFB3/PFKM/PFKP/PGAM1/PGAP1/PGD/PGK1/PGLS/PGM1/PGM3/PGP/PGS1/PHGDH/PI4K2A/PI4KA/PI4KB/PIGA/PIGB/PIGC/PIGF/PIGG/PIGH/PIGK/PIGL/PIGN/PIGO/PIGQ/PIGT/PIGV/PIK3C2A/PIK3C2B/PIK3C3/PIK3CA/PIK3CB/PIK3CD/PIK3CG/PIKFYVE/PIP4K2A/PIP4K2C/PIP5K1A/PIP5K1B/PIP5K1C/PIPOX/PKLR/PLA2G12A/PLA2G1B/PLA2G2D/PLA2G3/PLA2G4A/PLA2G4C/PLA2G5/PLA2G6/PLA2G7/PLCB1/PLCB2/PLCB3/PLCB4/PLCD1/PLCE1/PLCG1/PLCG2/PLCH1/PLCH2/PLD1/PLD2/PLD3/PLOD1/PLOD2/PLOD3/PMM1/PMM2/PMVK/PNMT/PNPLA2/PNPLA3/PNPLA4/PNPO/POMGNT1/POMT1/POMT2/PPAT/PPCDC/PPOX/PPT1/PRDM16/PRDM2/PRDX6/PRPS1/PRPS2/PSAT1/PSPH/PTDSS1/PTDSS2/PTEN/PTGDS/PTGES2/PTGES3/PTGS1/PTGS2/PTS/PYCR1/PYGB/PYGL/PYGM/QDPR/QPRT/QRSL1/RDH11/RDH16/RENBP/RFK/RGN/RPE/RPIA/RPN1/RPN2/RRM1/RRM2/SACM1L/SARDH/SAT1/SCD/SCD5/SCP2/SDHA/SDHB/SDHC/SDHD/SDS/SELENBP1/SEPHS1/SEPHS2/SETD1A/SETD1B/SETD2/SETDB1/SETMAR/SGMS1/SGPL1/SGPP1/SGSH/SHMT1/SHMT2/SIRT1/SIRT2/SIRT3/SIRT4/SIRT5/SIRT6/SIRT7/SLC27A5/SLC33A1/SMOX/SMPD1/SMPD2/SMPD3/SMS/SMYD2/SMYD3/SORD/SPHK1/SPHK2/SPR/SPTLC1/SPTLC2/SPTLC3/SQLE/SRD5A1/SRD5A3/SRM/SRR/ST3GAL1/ST3GAL2/ST3GAL4/ST3GAL5/ST3GAL6/ST6GAL1/ST6GALNAC2/ST6GALNAC4/ST6GALNAC5/ST8SIA1/ST8SIA5/STS/STT3A/SUCLA2/SUCLG1/SUCLG2/SULT2B1/SUOX/SUV39H1/SUV39H2/SYNJ2/TALDO1/TAT/TBXAS1/TCIRG1/TGDS/THTPA/TK1/TK2/TKT/TKTL1/TMLHE/TPH1/TPI1/TPK1/TPO/TRIT1/TST/TUSC3/TYMS/UAP1/UAP1L1/UCKL1/UGCG/UGDH/UGP2/UGT2B17/UGT8/UMPS/UPB1/UPP1/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRQ/UROD/UROS/UXS1/VKORC1/VNN1/VNN2/XDH/XYLB/XYLT1/XYLT2,948
hsa01200_Carbon_metabolism,Global and overview maps,ACADS/ACAT1/ACAT2/ACO1/ACO2/ACOX1/ACOX3/ADH5/ADPGK/ALDH6A1/ALDOA/ALDOB/ALDOC/CAT/CPS1/CS/DLAT/DLD/ENO1/ENO2/ENO3/ESD/FBP1/FH/G6PD/GCK/GLDC/GLUD1/GLUD2/GOT1/GOT2/GPI/GPT/H6PD/HIBCH/HK1/HK2/HK3/HKDC1/IDH1/IDH2/IDH3B/IDH3G/MDH1/MDH2/ME1/ME2/ME3/OGDH/OGDHL/PC/PCCA/PCCB/PDHA1/PDHB/PFKM/PFKP/PGAM1/PGD/PGK1/PGLS/PGP/PHGDH/PKLR/PRPS1/PRPS2/PSAT1/PSPH/RGN/RPE/RPIA/SDHA/SDHB/SDHC/SDHD/SDS/SHMT1/SHMT2/SUCLA2/SUCLG1/SUCLG2/TALDO1/TKT/TKTL1/TPI1,85
hsa01210_2-Oxocarboxylic_acid_metabolism,Global and overview maps,ACO1/ACO2/BCAT1/BCAT2/CS/GOT1/GOT2/GPT/IDH1/IDH2/IDH3B/IDH3G,12
hsa01212_Fatty_acid_metabolism,Global and overview maps,ACAA1/ACAA2/ACADL/ACADM/ACADS/ACADSB/ACADVL/ACAT1/ACAT2/ACOX1/ACOX3/ACSBG1/ACSBG2/ACSL1/ACSL3/ACSL4/ACSL5/ACSL6/CBR4/CPT1A/CPT2/EHHADH/ELOVL2/ELOVL5/ELOVL6/FADS2/FASN/HADH/HADHA/HADHB/HSD17B12/HSD17B4/MCAT/MECR/OXSM/PPT1/SCD/SCD5/SCP2,39
hsa01230_Biosynthesis_of_amino_acids,Global and overview maps,ACO1/ACO2/ALDH18A1/ALDOA/ALDOB/ALDOC/ARG1/ARG2/ASL/ASNS/ASS1/BCAT1/BCAT2/CPS1/CS/CTH/ENO1/ENO2/ENO3/GLUL/GOT1/GOT2/GPT/IDH1/IDH2/IDH3B/IDH3G/MAT2A/MAT2B/MTR/PC/PFKM/PFKP/PGAM1/PGK1/PHGDH/PKLR/PRPS1/PRPS2/PSAT1/PSPH/PYCR1/RPE/RPIA/SDS/SHMT1/SHMT2/TALDO1/TKT/TKTL1/TPI1,51
hsa01232_Nucleotide_metabolism,Global and overview maps,ADA/ADK/ADSL/AK1/AK2/AK5/AMPD2/AMPD3/APRT/CANT1/CDA/CMPK1/CTPS2/DCK/DCTD/DGUOK/DTYMK/DUT/ENPP1/ENTPD1/ENTPD2/ENTPD3/ENTPD4/ENTPD5/ENTPD6/GMPR/GMPR2/GMPS/GUK1/HDDC2/HPRT1/IMPDH1/ITPA/NME3/NME4/NME6/NME7/NT5C/NT5C2/NT5E/NT5M/RRM1/RRM2/TK1/TK2/TYMS/UCKL1/UPP1/XDH,49
hsa01240_Biosynthesis_of_cofactors,Global and overview maps,ADSL/AK1/AK2/AK5/AKR1A1/ALAD/ALAS1/ALAS2/ALDH1B1/ALDH2/ALDH3A2/ALPL/BCAT1/BCAT2/CAD/CMPK1/COASY/COQ2/COQ3/COQ6/COQ7/COX10/COX15/CPOX/CTPS2/DHFR/DHODH/DHRS3/DLD/FECH/FLAD1/FPGS/GCH1/GCLC/GCLM/GGCX/GGH/GMPPA/GPHN/GSS/GUSB/HAAO/HMBS/HPD/HSD17B6/IDO1/KMO/KYNU/LIAS/LIPT1/MAT2A/MAT2B/MOCS1/MOCS2/MPI/MTHFD1/MTHFD2/MTHFD2L/NADK/NADSYN1/NFS1/NME3/NME4/NME6/NME7/NMNAT2/NQO1/OXSM/PANK2/PANK3/PMM1/PMM2/PNPO/PPCDC/PPOX/PSAT1/PTS/QPRT/RDH11/RFK/RGN/SHMT1/SHMT2/SPR/TPK1/UGDH/UGP2/UGT2B17/UMPS/UROD/UROS/VKORC1,92
hsa01250_Biosynthesis_of_nucleotide_sugars,Global and overview maps,CMAS/GALK1/GALK2/GALT/GCK/GFPT1/GFPT2/GMDS/GMPPA/GNE/GPI/HK1/HK2/HK3/HKDC1/MPI/NAGK/NANS/PGM1/PGM3/PMM1/PMM2/TGDS/UAP1/UAP1L1/UGDH/UGP2/UXS1,28
hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance,Drug resistance: antineoplastic,AKT1/AKT2/AKT3/ARAF/BAX/BCL2/BCL2L1/BCL2L11/EGF/EGFR/EIF4E/EIF4E2/EIF4EBP1/ERBB2/ERBB3/FGF2/FGFR2/FGFR3/FOXO3/GAB1/GAS6/GRB2/GSK3B/HGF/HRAS/IGF1/IGF1R/IL6/IL6R/JAK1/JAK2/KDR/KRAS/MAP2K1/MAP2K2/MAPK1/MAPK3/MET/NF1/NRG1/NRG2/PDGFA/PDGFB/PDGFC/PDGFD/PDGFRB/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLCG1/PLCG2/PRKCA/PRKCB/PRKCG/PTEN/RAF1/RPS6/RPS6KB1/RPS6KB2/SHC1/SHC2/SHC3/SOS1/SOS2/SRC/STAT3/TGFA/VEGFA,71
hsa01522_Endocrine_resistance,Drug resistance: antineoplastic,ABCB11/ADCY1/ADCY2/ADCY3/ADCY6/ADCY7/ADCY9/AKT1/AKT2/AKT3/ARAF/BAX/BCL2/BIK/CARM1/CCND1/CDK4/CDKN1A/CDKN1B/CDKN2A/CDKN2C/DLL3/E2F1/E2F2/E2F3/EGFR/ERBB2/ESR1/ESR2/FOS/GNAS/GRB2/HBEGF/HRAS/IGF1/IGF1R/JAG1/JAG2/JUN/KRAS/MAP2K1/MAP2K2/MAPK1/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK3/MAPK8/MAPK9/MDM2/MED1/MMP2/MMP9/NCOA3/NCOR1/NOTCH1/NOTCH2/NOTCH3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PRKACA/PRKACB/PTK2/RAF1/RB1/RPS6KB1/RPS6KB2/SHC1/SHC2/SHC3/SOS1/SOS2/SP1/SRC/TP53,81
hsa01523_Antifolate_resistance,Drug resistance: antineoplastic,ABCC1/ABCC2/ABCC3/ABCC4/ABCC5/ABCG2/ALOX12/ATIC/CHUK/DHFR/FOLR2/FOLR3/FPGS/GART/GGH/IKBKB/IL1B/IL6/MTHFR/NFKB1/RELA/SHMT1/SHMT2/SLC19A1/TNF/TYMS,26
hsa01524_Platinum_drug_resistance,Drug resistance: antineoplastic,ABCC2/AKT1/AKT2/AKT3/APAF1/ATM/ATP7A/ATP7B/BAK1/BAX/BCL2/BCL2L1/BID/BIRC2/BIRC3/BIRC5/BRCA1/CASP3/CASP8/CASP9/CDKN1A/CDKN2A/CYCS/ERBB2/ERCC1/FADD/FAS/FASLG/GSTA4/GSTM3/GSTM4/GSTM5/GSTP1/MAP3K5/MAPK1/MAPK3/MDM2/MGST2/MGST3/MLH1/MSH2/MSH3/MSH6/PDPK1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PMAIP1/POLH/REV3L/SLC31A1/TOP2A/TOP2B/TP53/XIAP/XPA,59
hsa02010_ABC_transporters,Membrane transport,ABCA1/ABCA12/ABCA2/ABCA3/ABCA6/ABCA7/ABCB1/ABCB11/ABCB4/ABCB6/ABCB7/ABCB8/ABCB9/ABCC1/ABCC10/ABCC2/ABCC3/ABCC4/ABCC5/ABCC8/ABCD1/ABCD2/ABCD3/ABCD4/ABCG2/ABCG4/ABCG5/CFTR/TAP1/TAP2,30
hsa03008_Ribosome_biogenesis_in_eukaryotes,Translation,BMS1/CSNK2A1/CSNK2A2/CSNK2B/EMG1/FBL/FCF1/GAR1/GNL2/GNL3L/GTPBP4/HEATR1/IMP3/IMP4/LSG1/MDN1/MPHOSPH10/NAT10/NHP2/NMD3/NOL6/NOP10/NVL/NXF1/NXF3/NXT1/NXT2/POP1/POP4/POP5/POP7/RAN/RBM28/RCL1/RIOK2/RPP25/RPP30/RPP38/RPP40/RRP7A/TBL3/TCOF1/UTP18/UTP6/WDR3/WDR43/XPO1,47
hsa03010_Ribosome,Translation,FAU/MRPL11/MRPL13/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL22/MRPL23/MRPL24/MRPL28/MRPL3/MRPL33/MRPL34/MRPL35/MRPL4/MRPL9/MRPS10/MRPS12/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18C/MRPS2/RPL10A/RPL11/RPL14/RPL15/RPL18/RPL23A/RPL24/RPL27/RPL27A/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL3L/RPL41/RPL6/RPL7/RPL8/RPLP0/RPLP2/RPS12/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS19/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27L/RPS28/RPS29/RPS3/RPS4X/RPS4Y1/RPS5/RPS6/RPS7/RPS8/RPS9/RSL24D1/UBA52,81
hsa03013_Nucleocytoplasmic_transport,Translation,AAAS/ACIN1/AHCTF1/CSE1L/DDX19A/EEF1A1/EEF1A2/EIF4A3/GLE1/IPO13/IPO4/IPO5/IPO7/IPO8/IPO9/KPNA1/KPNA2/KPNA3/KPNA4/KPNA5/KPNA6/KPNB1/MAGOHB/NCBP1/NCBP2/NMD3/NUP107/NUP133/NUP153/NUP155/NUP160/NUP188/NUP205/NUP210/NUP214/NUP37/NUP43/NUP50/NUP54/NUP85/NUP88/NUP93/NUP98/NXF1/NXF3/NXT1/NXT2/PNN/POM121L2/RAE1/RAN/RANBP17/RANBP2/RANGAP1/SAP18/SEC13/SEH1L/SENP2/SNUPN/SRRM1/SUMO1/SUMO3/SUMO4/THOC1/THOC2/THOC5/THOC6/THOC7/TMEM33/TNPO1/TNPO2/TNPO3/UBE2I/UPF1/UPF2/UPF3A/UPF3B/XPO1/XPO4/XPO6/XPO7/XPOT,82
hsa03015_mRNA_surveillance_pathway,Translation,ACIN1/CLP1/CPSF4/CPSF6/CSTF1/CSTF2/CSTF2T/CSTF3/DAZAP1/DDX19A/EIF4A3/ETF1/FIP1L1/FUS/GLE1/GSPT1/GSPT2/HBS1L/MAGOHB/MSI1/NCBP1/NCBP2/NUDT21/NXF1/NXF3/NXT1/NXT2/PABPC3/PAPOLA/PAPOLG/PCF11/PNN/PPP1CB/PPP1CC/PPP2CA/PPP2CB/PPP2R1A/PPP2R1B/PPP2R2A/PPP2R2B/PPP2R2D/PPP2R3A/PPP2R3C/PPP2R5A/PPP2R5B/PPP2R5C/PPP2R5E/RNGTT/RNMT/SAP18/SMG5/SMG6/SMG7/SRRM1/SYMPK/TARDBP/UPF1/UPF2/UPF3A/UPF3B/WDR82,61
hsa03018_RNA_degradation,"Folding, sorting and degradation",BTG2/BTG3/C1D/CNOT1/CNOT2/CNOT3/CNOT4/CNOT6/CNOT7/CNOT8/DCP2/DCPS/DDX6/DIS3/EDC3/EDC4/ENO1/ENO2/ENO3/EXOSC1/EXOSC10/EXOSC2/EXOSC4/EXOSC5/EXOSC7/EXOSC8/EXOSC9/HSPA9/HSPD1/LSM1/LSM2/LSM3/LSM4/LSM5/LSM6/LSM7/MPHOSPH6/PABPC3/PARN/PFKM/PFKP/TOB1/TOB2,43
hsa03020_RNA_polymerase,Transcription,CRCP/POLR1B/POLR1C/POLR1D/POLR1E/POLR2A/POLR2C/POLR2D/POLR2E/POLR2F/POLR2G/POLR2H/POLR2I/POLR2J/POLR2K/POLR2L/POLR3B/POLR3C/POLR3D/POLR3F/POLR3G/POLR3K,22
hsa03022_Basal_transcription_factors,Transcription,CCNH/CDK7/ERCC2/ERCC3/GTF2A1/GTF2A2/GTF2B/GTF2E1/GTF2E2/GTF2F1/GTF2F2/GTF2H1/GTF2H3/GTF2IRD1/MNAT1/TAF1/TAF10/TAF11/TAF12/TAF13/TAF2/TAF4/TAF4B/TAF5/TAF5L/TAF6/TAF6L/TAF7/TAF7L/TAF9B/TBP/TBPL1,32
hsa03030_DNA_replication,Replication and repair,DNA2/FEN1/LIG1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/PCNA/POLA1/POLA2/POLD1/POLD2/POLD3/POLD4/POLE/POLE2/POLE3/PRIM1/PRIM2/RFC1/RFC2/RFC3/RFC4/RFC5/RNASEH1/RNASEH2A/RNASEH2B/RPA1/RPA2/RPA3/RPA4/SSBP1,34
hsa03040_Spliceosome,Transcription,ACIN1/AQR/BCAS2/BUD31/CDC40/CDC5L/CHERP/CRNKL1/CTNNBL1/DDX23/DDX42/DDX46/DHX15/DHX16/DHX38/DHX8/EIF4A3/FUS/HNRNPC/HNRNPK/HNRNPM/HNRNPU/HSPA1L/HSPA2/HSPA6/LSM2/LSM3/LSM4/LSM5/LSM6/LSM7/MAGOHB/NCBP1/NCBP2/PCBP1/PPIE/PPIH/PQBP1/PRPF18/PRPF19/PRPF3/PRPF31/PRPF38B/PRPF4/PRPF40A/PRPF6/PRPF8/PUF60/RBM17/RBM22/RBM25/SART1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SMNDC1/SNRNP27/SNRNP40/SNRNP70/SNRPA/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNRPG/SNW1/SYF2/TCERG1/THOC1/THOC2/TRA2A/TXNL4A/U2AF2/USP39/WBP11/XAB2,84
hsa03050_Proteasome,"Folding, sorting and degradation",ADRM1/IFNG/POMP/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA7/PSMB1/PSMB10/PSMB2/PSMB4/PSMB5/PSMB6/PSMB7/PSMB8/PSMB9/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD1/PSMD11/PSMD12/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME3/PSME4/PSMF1,39
hsa03060_Protein_export,"Folding, sorting and degradation",HSPA5/OXA1L/SEC11A/SEC61A1/SEC61A2/SEC61B/SEC61G/SEC62/SEC63/SPCS1/SPCS2/SPCS3/SRP14/SRP19/SRP54/SRP72/SRPRB,17
hsa03250_Viral_life_cycle_HIV_1,Information processing in viruses,AFF4/APOBEC3C/APOBEC3F/APOBEC3G/BICD1/BICD2/BST2/CCNT1/CCNT2/CCR5/CD4/CDK9/CHMP6/CPSF6/CREBBP/CXCR4/ELL/ELL2/ELL3/EP300/FEZ1/FURIN/HGS/KAT2B/MAP1A/MAP1B/MAP1S/MLLT1/MLLT3/NUP153/PDCD6IP/PIN1/PPIA/PSIP1/RAN/RANBP2/SAMHD1/SERINC3/SERINC5/SMARCB1/SUPT5H/TNPO3/TRIM5/TSG101/VPS4A/VPS4B/XPO1,47
hsa03260_Virion_Human_immunodeficiency_virus,Information processing in viruses,CCR5/CD209/CD4/CLEC4M/CXCR4,5
hsa03264_Virion_Flavivirus,Information processing in viruses,CD209/CLEC4M/HAVCR1/TYRO3,4
hsa03265_Virion_Lyssavirus,Information processing in viruses,CHRNA1/NCAM1/NCAM2/NGFR,4
hsa03266_Virion_Herpesvirus,Information processing in viruses,IDE/IGF2R/ITGA5/ITGB3/PILRA/TNFRSF14,6
hsa03267_Virion_Adenovirus,Information processing in viruses,CD46/CD80/CD86/CXADR,4
hsa03320_PPAR_signaling_pathway,Endocrine system,ACAA1/ACADL/ACADM/ACOX1/ACOX2/ACOX3/ACSBG1/ACSBG2/ACSL1/ACSL3/ACSL4/ACSL5/ACSL6/APOA1/CD36/CPT1A/CPT2/CYP27A1/CYP7A1/DBI/EHHADH/FABP2/FABP3/FABP6/FADS2/GK/HMGCS1/LPL/ME1/ME3/MMP1/NR1H3/OLR1/PCK1/PCK2/PDPK1/PLIN2/PLTP/PPARA/PPARD/PPARG/RXRB/SCD/SCD5/SCP2/SLC27A2/SLC27A5/UBC/UCP1,49
hsa03410_Base_excision_repair,Replication and repair,APEX1/APEX2/FEN1/HMGB1/LIG1/LIG3/MBD4/MPG/MUTYH/NEIL3/NTHL1/OGG1/PARP1/PARP2/PARP3/PARP4/PCNA/POLB/POLD1/POLD2/POLD3/POLD4/POLE/POLE2/POLE3/POLL/SMUG1/TDG/UNG/XRCC1,30
hsa03420_Nucleotide_excision_repair,Replication and repair,CCNH/CDK7/CETN2/CUL4A/CUL4B/DDB1/DDB2/ERCC1/ERCC2/ERCC3/ERCC4/ERCC8/GTF2H1/GTF2H3/LIG1/MNAT1/PCNA/POLD1/POLD2/POLD3/POLD4/POLE/POLE2/POLE3/RAD23A/RAD23B/RFC1/RFC2/RFC3/RFC4/RFC5/RPA1/RPA2/RPA3/RPA4/XPA/XPC,37
hsa03430_Mismatch_repair,Replication and repair,EXO1/LIG1/MLH1/MLH3/MSH2/MSH3/MSH6/PCNA/POLD1/POLD2/POLD3/POLD4/RFC1/RFC2/RFC3/RFC4/RFC5/RPA1/RPA2/RPA3/RPA4/SSBP1,22
