KEGG_name,KEGG_classification,gene_name,count
hsa00232_Caffeine_metabolism,Biosynthesis of other secondary metabolites,NAT1/XDH,2
hsa00240_Pyrimidine_metabolism,Nucleotide metabolism,CAD/CANT1/CDA/CMPK1/CTPS2/DCK/DCTD/DHODH/DPYD/DPYS/DTYMK/DUT/ENPP1/ENTPD1/ENTPD3/ENTPD4/ENTPD5/ENTPD6/HDDC2/NME3/NME4/NME6/NME7/NT5C/NT5C2/NT5E/NT5M/NUDT2/RRM1/RRM2/TK1/TK2/TYMS/UCKL1/UMPS/UPB1/UPP1,37
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",Amino acid metabolism,ABAT/ADSL/ALDH4A1/ALDH5A1/ASL/ASNS/ASRGL1/ASS1/CAD/CPS1/DDO/GAD1/GFPT1/GFPT2/GLS/GLS2/GLUD1/GLUD2/GLUL/GOT1/GOT2/GPT/NIT2/PPAT,24
"hsa00260_Glycine,_serine_and_threonine_metabolism",Amino acid metabolism,ALAS1/ALAS2/ALDH7A1/AOC2/AOC3/BPGM/CTH/DAO/DLD/GAMT/GATM/GCAT/GLDC/GNMT/GRHPR/MAOA/PGAM1/PHGDH/PIPOX/PSAT1/PSPH/SARDH/SDS/SHMT1/SHMT2/SRR,26
hsa00270_Cysteine_and_methionine_metabolism,Amino acid metabolism,ADI1/AHCY/AHCYL1/AHCYL2/AMD1/BCAT1/BCAT2/CDO1/CTH/DNMT1/DNMT3A/DNMT3B/ENOPH1/GCLC/GCLM/GOT1/GOT2/GSS/LDHA/LDHAL6B/LDHB/LDHC/MAT2A/MAT2B/MDH1/MDH2/MPST/MTAP/MTR/PHGDH/PSAT1/SDS/SMS/SRM/TAT/TST,36
"hsa00280_Valine,_leucine_and_isoleucine_degradation",Amino acid metabolism,AACS/ABAT/ACAA1/ACAA2/ACAD8/ACADM/ACADS/ACADSB/ACAT1/ACAT2/ALDH1B1/ALDH2/ALDH3A2/ALDH6A1/ALDH7A1/ALDH9A1/AOX1/AUH/BCAT1/BCAT2/BCKDHA/BCKDHB/DBT/DLD/EHHADH/HADH/HADHA/HADHB/HIBCH/HMGCL/HMGCS1/HSD17B10/IVD/MCCC1/MCCC2/OXCT1/OXCT2/PCCA/PCCB,39
"hsa00290_Valine,_leucine_and_isoleucine_biosynthesis",Amino acid metabolism,BCAT1/BCAT2/SDS,3
hsa00310_Lysine_degradation,Amino acid metabolism,AASS/ACAT1/ACAT2/ALDH1B1/ALDH2/ALDH3A2/ALDH7A1/ALDH9A1/DHTKD1/DLD/DOT1L/EHHADH/EHMT1/EHMT2/EZH1/EZH2/GCDH/HADH/HADHA/NSD1/PIPOX/PLOD1/PLOD2/PLOD3/PRDM16/PRDM2/SETD1A/SETD1B/SETD2/SETDB1/SETMAR/SMYD2/SMYD3/SUV39H1/SUV39H2/TMLHE,36
hsa00330_Arginine_and_proline_metabolism,Amino acid metabolism,AGMAT/ALDH18A1/ALDH1B1/ALDH2/ALDH3A2/ALDH4A1/ALDH7A1/ALDH9A1/AMD1/ARG1/ARG2/CKB/CKM/CNDP2/DAO/GAMT/GATM/GOT1/GOT2/LAP3/MAOA/NOS1/NOS2/NOS3/OAT/ODC1/P4HA1/PYCR1/SAT1/SMOX/SMS/SRM,32
hsa00340_Histidine_metabolism,Amino acid metabolism,ALDH1B1/ALDH2/ALDH3A1/ALDH3A2/ALDH3B1/ALDH3B2/ALDH7A1/ALDH9A1/CNDP2/FTCD/HAL/HDC/HNMT/MAOA,14
hsa00350_Tyrosine_metabolism,Amino acid metabolism,ADH1A/ADH5/ADH6/ALDH3A1/ALDH3B1/ALDH3B2/AOC2/AOC3/AOX1/DCT/DDC/FAH/GOT1/GOT2/GSTZ1/HGD/HPD/MAOA/PNMT/TAT/TPO,21
hsa00360_Phenylalanine_metabolism,Amino acid metabolism,ALDH3A1/ALDH3B1/ALDH3B2/AOC2/AOC3/DDC/GOT1/GOT2/HPD/MAOA/TAT,11
hsa00380_Tryptophan_metabolism,Amino acid metabolism,AANAT/ACAT1/ACAT2/ALDH1B1/ALDH2/ALDH3A2/ALDH7A1/ALDH8A1/ALDH9A1/AOX1/CAT/CYP1A1/CYP1B1/DDC/DHTKD1/DLD/EHHADH/GCDH/HAAO/HADH/HADHA/IDO1/KMO/KYNU/MAOA/TPH1,26
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",Amino acid metabolism,GOT1/GOT2/TAT,3
hsa00410_beta-Alanine_metabolism,Metabolism of other amino acids,ABAT/ACADS/ACOX1/ACOX3/ALDH1B1/ALDH2/ALDH3A1/ALDH3A2/ALDH3B1/ALDH3B2/ALDH6A1/ALDH7A1/ALDH9A1/AOC2/AOC3/CNDP2/CSAD/DPYD/DPYS/EHHADH/GAD1/HADHA/HIBCH/MLYCD/SMOX/UPB1,26
hsa00430_Taurine_and_hypotaurine_metabolism,Metabolism of other amino acids,ADO/BAAT/CDO1/CSAD/FMO1/FMO5/GAD1/GGT5,8
hsa00440_Phosphonate_and_phosphinate_metabolism,Metabolism of other amino acids,CEPT1/CHPT1/PCYT1A/PCYT1B/PCYT2,5
hsa00450_Selenocompound_metabolism,Metabolism of other amino acids,CTH/MTR/PAPSS1/PAPSS2/SEPHS1/SEPHS2/TXNRD1/TXNRD2,8
hsa00470_D-Amino_acid_metabolism,Metabolism of other amino acids,DAO/DDO/GLS/GLS2/SRR,5
hsa00480_Glutathione_metabolism,Metabolism of other amino acids,ANPEP/CHAC1/G6PD/GCLC/GCLM/GGCT/GGT5/GPX1/GPX2/GPX3/GPX4/GPX7/GSR/GSS/GSTA4/GSTK1/GSTM3/GSTM4/GSTM5/GSTP1/HPGDS/IDH1/IDH2/LANCL1/LAP3/MGST2/MGST3/ODC1/OPLAH/PGD/PRDX6/RRM1/RRM2/SMS/SRM,35
hsa00500_Starch_and_sucrose_metabolism,Carbohydrate metabolism,AGL/ENPP1/G6PC3/GAA/GBE1/GCK/GPI/GYG1/GYG2/GYS1/HK1/HK2/HK3/HKDC1/MGAM/PGM1/PYGB/PYGL/PYGM/UGP2,20
hsa00510_N-Glycan_biosynthesis,Glycan biosynthesis and metabolism,ALG12/ALG13/ALG3/ALG5/ALG6/ALG8/ALG9/B4GALT1/B4GALT2/B4GALT3/DAD1/DOLK/DOLPP1/DPAGT1/DPM1/DPM2/DPM3/FUT8/GANAB/MAN1A1/MAN1A2/MAN1B1/MAN1C1/MAN2A1/MAN2A2/MGAT1/MGAT3/MGAT4A/MGAT4B/MGAT5/MOGS/RPN1/RPN2/SRD5A3/ST6GAL1/STT3A/TUSC3,37
hsa00511_Other_glycan_degradation,Glycan biosynthesis and metabolism,AGA/FUCA1/HEXA/HEXB/MAN2B1/MAN2B2/MAN2C1/MANBA/NEU1/NEU3,10
